Id,ActivityDate,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,ActiveDistance,non_ActiveDistance,ActiveMinutes,non_ActiveMinutes
1644430081,2016-04-30,3846,1,124,142,18213,13.2399997711182,13.2399997711182,0.0,3.7700001001357979,9.46000003814697,80,1218
2347167796,2016-04-14,2010,1,445,489,10129,6.69999980926514,6.69999980926514,0.0,2.7600000090897052,3.94000005722046,49,911
3977333714,2016-04-16,1625,1,283,510,13459,9.0,9.0,0.0,6.0299999713897705,2.97000002861023,114,816
3977333714,2016-04-17,1529,1,381,566,10415,6.96999979019165,6.96999979019165,0.0,3.0499998927116412,3.92000007629395,69,805
3977333714,2016-04-19,1638,1,219,395,12414,8.77999973297119,8.77999973297119,0.0,4.69000005722046,3.96000003814697,86,959
3977333714,2016-04-20,1554,2,152,305,11658,7.82999992370605,7.82999992370605,0.0,4.5499999076128024,3.27999997138977,100,1009
3977333714,2016-04-23,1638,1,235,372,12058,8.06999969482422,8.06999969482422,0.0,4.21999979019165,3.84999990463257,92,976
3977333714,2016-04-30,1650,1,237,382,13238,9.19999980926514,9.19999980926514,0.0,5.78999996185303,3.41000008583069,95,881
3977333714,2016-05-02,1760,1,230,384,16520,11.0500001907349,11.0500001907349,0.0,8.01999998092652,3.01999998092651,167,889
3977333714,2016-05-04,1628,1,213,336,13559,9.4399995803833,9.4399995803833,0.0,6.38999986648559,2.89000010490417,110,994
3977333714,2016-05-05,1618,1,318,480,12312,8.57999992370605,8.57999992370605,0.0,5.8700001239776594,2.71000003814697,102,858
3977333714,2016-05-06,1590,1,323,512,11677,8.27999973297119,8.27999973297119,0.0,5.61999988555909,2.67000007629395,84,844
3977333714,2016-05-07,1574,1,237,443,11550,7.73000001907349,7.73000001907349,0.0,4.13000011444092,3.58999991416931,86,911
3977333714,2016-05-08,1633,2,259,456,13585,9.09000015258789,9.09000015258789,0.0,5.919999778270717,3.17000007629395,125,859
3977333714,2016-05-10,1630,1,312,452,13072,8.77999973297119,8.77999973297119,0.0,5.4700000956654531,3.30999994277954,116,872
4319703577,2016-04-27,2324,1,286,307,10780,7.23000001907349,7.23000001907349,0.0,2.3299999535083811,4.90999984741211,53,980
4388161847,2016-04-27,3074,1,439,500,11193,8.60999965667725,8.60999965667725,0.0,3.209999978542331,5.3899998664856,59,925
4388161847,2016-04-30,3283,2,409,430,12533,9.64000034332275,9.64000034332275,0.0,2.699999988079071,6.94000005722046,57,837
4388161847,2016-05-05,2899,1,471,495,9603,7.38000011444092,7.38000011444092,0.0,2.2999999523162877,5.09000015258789,51,1095
4388161847,2016-05-05,2899,1,471,495,9603,7.38000011444092,7.38000011444092,0.0,2.2999999523162877,5.09000015258789,51,1095
4388161847,2016-05-07,4022,1,472,496,22770,17.5400009155273,17.5400009155273,0.0,12.21999979019165,5.32999992370605,176,768
4702921684,2016-04-17,3394,1,591,612,12692,10.289999961853,10.289999961853,0.0,4.4200000166892979,5.88000011444092,78,739
4702921684,2016-04-23,3691,1,465,475,15126,12.2700004577637,12.2700004577637,0.0,3.9999999999999969,8.27000045776367,75,877
4702921684,2016-05-10,3172,1,416,431,10613,8.60999965667725,8.60999965667725,0.0,1.9599999934434906,6.65000009536743,38,963
5577150313,2016-04-15,4005,1,392,413,12087,9.07999992370605,9.07999992370605,0.0,5.52000010013581,3.55999994277954,169,894
5577150313,2016-04-16,4274,1,406,445,14269,10.6599998474121,10.6599998474121,0.0,7.91999983787537,2.73000001907349,240,630
